id,location_name,area_name,place_type,latitude,longitude,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
56,Rahatgaon Road - Safety Point 56,Rahatgaon Road,park_area,20.946037,77.750902,56.65,65.09,22.0,86.28,77.77,44.9,Medium,SYNTHETIC_DEMO_ONLY
57,MIDC Area - Safety Point 57,MIDC Area,residential_area,20.912297,77.807148,50.05,61.75,74.27,23.66,75.04,44.92,Medium,SYNTHETIC_DEMO_ONLY
58,Chandur Road Area - Safety Point 58,Chandur Road Area,market_area,20.897681,77.739396,63.83,72.86,55.65,30.54,55.0,49.11,Medium,SYNTHETIC_DEMO_ONLY
59,Paranjape Nagar - Safety Point 59,Paranjape Nagar,commercial_area,20.935192,77.753086,52.16,82.1,85.96,58.64,49.39,50.79,Medium,SYNTHETIC_DEMO_ONLY
60,Panchsheel Nagar - Safety Point 60,Panchsheel Nagar,road_junction,20.941923,77.75004,20.91,25.88,58.0,66.31,72.14,42.7,Medium,SYNTHETIC_DEMO_ONLY
61,Rajapeth - Safety Point 61,Rajapeth,public_place,20.922668,77.753069,66.46,32.5,29.88,17.88,38.95,55.51,Medium,SYNTHETIC_DEMO_ONLY
62,City Kotwali - Safety Point 62,City Kotwali,transport_area,20.9275,77.755562,16.29,75.36,49.66,37.12,63.28,28.11,Low,SYNTHETIC_DEMO_ONLY
63,Gadge Nagar - Safety Point 63,Gadge Nagar,college_area,20.943639,77.762005,30.29,65.69,41.82,63.78,55.05,38.37,Medium,SYNTHETIC_DEMO_ONLY
64,Frezarpura - Safety Point 64,Frezarpura,park_area,20.934675,77.777789,42.88,37.68,27.29,60.4,30.26,50.21,Medium,SYNTHETIC_DEMO_ONLY
65,Dastur Nagar - Safety Point 65,Dastur Nagar,residential_area,20.909512,77.768603,33.95,54.52,35.37,50.99,59.22,39.2,Medium,SYNTHETIC_DEMO_ONLY
66,Gokul Market - Safety Point 66,Gokul Market,market_area,20.934736,77.764341,77.0,55.83,72.47,34.19,76.99,57.38,Medium,SYNTHETIC_DEMO_ONLY
67,Jawahar Road - Safety Point 67,Jawahar Road,commercial_area,20.927936,77.749243,36.81,60.43,62.45,55.37,71.6,41.8,Medium,SYNTHETIC_DEMO_ONLY
68,Camp Area - Safety Point 68,Camp Area,road_junction,20.920081,77.772334,35.77,67.06,91.4,49.84,89.66,41.14,Medium,SYNTHETIC_DEMO_ONLY
69,Saturna - Safety Point 69,Saturna,public_place,20.920148,77.764875,56.77,58.69,64.57,60.26,86.32,48.73,Medium,SYNTHETIC_DEMO_ONLY
70,Parmal Layout - Safety Point 70,Parmal Layout,transport_area,20.922879,77.7555,32.64,34.97,68.84,59.02,63.39,47.78,Medium,SYNTHETIC_DEMO_ONLY
71,Pushpak Colony - Safety Point 71,Pushpak Colony,college_area,20.908488,77.749323,42.08,56.51,28.91,89.09,46.36,46.82,Medium,SYNTHETIC_DEMO_ONLY
72,Rana Nagar - Safety Point 72,Rana Nagar,park_area,20.940831,77.777921,47.48,73.79,87.48,71.94,53.74,51.49,Medium,SYNTHETIC_DEMO_ONLY
73,Mahajanpura - Safety Point 73,Mahajanpura,residential_area,20.933186,77.752523,75.63,34.46,49.07,81.96,40.72,67.81,High,SYNTHETIC_DEMO_ONLY
74,Prabhat Colony - Safety Point 74,Prabhat Colony,market_area,20.928006,77.762024,83.62,35.27,49.44,45.5,61.06,64.2,Medium,SYNTHETIC_DEMO_ONLY
75,Krishnarpan Colony - Safety Point 75,Krishnarpan Colony,commercial_area,20.924971,77.764263,38.19,67.79,60.04,52.67,63.81,41.42,Medium,SYNTHETIC_DEMO_ONLY
76,New Ganesh Colony - Safety Point 76,New Ganesh Colony,road_junction,20.924882,77.752807,73.81,86.1,68.04,39.23,62.77,52.02,Medium,SYNTHETIC_DEMO_ONLY
77,Javad Nagar - Safety Point 77,Javad Nagar,public_place,20.921424,77.788357,31.83,57.68,58.58,91.93,66.75,44.16,Medium,SYNTHETIC_DEMO_ONLY
78,Walgaon Road - Safety Point 78,Walgaon Road,transport_area,20.919014,77.794582,72.96,35.61,51.31,33.35,82.77,55.68,Medium,SYNTHETIC_DEMO_ONLY
79,Badnera Road - Safety Point 79,Badnera Road,college_area,20.900514,77.776647,30.06,34.11,66.7,33.11,50.51,45.94,Medium,SYNTHETIC_DEMO_ONLY
80,Rahatgaon - Safety Point 80,Rahatgaon,park_area,20.954457,77.737618,17.0,88.34,80.64,56.04,41.05,35.67,Medium,SYNTHETIC_DEMO_ONLY
81,Transport Nagar - Safety Point 81,Transport Nagar,residential_area,20.956478,77.754645,45.65,92.96,67.81,49.65,71.38,39.1,Medium,SYNTHETIC_DEMO_ONLY
82,Cotton Market - Safety Point 82,Cotton Market,market_area,20.935591,77.748467,34.32,42.08,62.33,77.13,72.01,46.57,Medium,SYNTHETIC_DEMO_ONLY
83,Sarafa - Safety Point 83,Sarafa,commercial_area,20.931434,77.748999,51.45,88.13,48.26,23.17,45.11,40.74,Medium,SYNTHETIC_DEMO_ONLY
84,Maltekdi - Safety Point 84,Maltekdi,road_junction,20.937716,77.769044,56.5,41.48,35.91,80.85,80.31,50.73,Medium,SYNTHETIC_DEMO_ONLY
85,Wadali - Safety Point 85,Wadali,public_place,20.926042,77.796479,89.68,37.35,24.33,72.48,40.48,68.23,High,SYNTHETIC_DEMO_ONLY
86,Rahatgaon Road - Safety Point 86,Rahatgaon Road,transport_area,20.944937,77.754904,16.83,88.42,56.57,49.82,68.31,27.27,Low,SYNTHETIC_DEMO_ONLY
87,MIDC Area - Safety Point 87,MIDC Area,college_area,20.909598,77.809555,17.05,40.81,62.02,80.45,49.6,43.57,Medium,SYNTHETIC_DEMO_ONLY
88,Chandur Road Area - Safety Point 88,Chandur Road Area,park_area,20.900294,77.742324,54.9,89.42,36.4,55.51,77.21,38.51,Medium,SYNTHETIC_DEMO_ONLY
89,Paranjape Nagar - Safety Point 89,Paranjape Nagar,residential_area,20.938671,77.751837,75.19,47.49,26.11,89.26,45.39,61.61,Medium,SYNTHETIC_DEMO_ONLY
90,Panchsheel Nagar - Safety Point 90,Panchsheel Nagar,market_area,20.940002,77.748902,20.27,34.16,47.66,56.23,45.67,42.2,Medium,SYNTHETIC_DEMO_ONLY
91,Rajapeth - Safety Point 91,Rajapeth,commercial_area,20.921086,77.755103,28.46,65.6,66.24,27.35,71.84,35.16,Medium,SYNTHETIC_DEMO_ONLY
92,City Kotwali - Safety Point 92,City Kotwali,road_junction,20.927585,77.756055,52.89,65.91,43.5,47.82,63.19,44.8,Medium,SYNTHETIC_DEMO_ONLY
93,Gadge Nagar - Safety Point 93,Gadge Nagar,public_place,20.944128,77.760453,29.64,92.59,29.04,37.67,66.57,26.48,Low,SYNTHETIC_DEMO_ONLY
94,Frezarpura - Safety Point 94,Frezarpura,transport_area,20.93311,77.773848,30.86,68.85,89.35,68.89,30.45,49.3,Medium,SYNTHETIC_DEMO_ONLY
95,Dastur Nagar - Safety Point 95,Dastur Nagar,college_area,20.911212,77.769995,79.06,93.89,37.8,88.0,33.82,57.24,Medium,SYNTHETIC_DEMO_ONLY
96,Gokul Market - Safety Point 96,Gokul Market,park_area,20.933767,77.759155,75.4,45.52,89.07,76.09,58.96,68.18,High,SYNTHETIC_DEMO_ONLY
97,Jawahar Road - Safety Point 97,Jawahar Road,residential_area,20.9293,77.748524,50.49,26.61,41.35,73.85,86.89,50.43,Medium,SYNTHETIC_DEMO_ONLY
98,Camp Area - Safety Point 98,Camp Area,market_area,20.924115,77.770964,88.58,67.39,62.48,19.49,57.16,59.7,Medium,SYNTHETIC_DEMO_ONLY
99,Saturna - Safety Point 99,Saturna,commercial_area,20.919038,77.759986,54.38,83.1,58.79,71.3,59.08,47.22,Medium,SYNTHETIC_DEMO_ONLY
100,Parmal Layout - Safety Point 100,Parmal Layout,road_junction,20.921123,77.75838,58.04,54.91,29.85,55.74,51.57,49.55,Medium,SYNTHETIC_DEMO_ONLY
101,Pushpak Colony - Safety Point 101,Pushpak Colony,public_place,20.908809,77.750989,77.99,39.19,26.45,75.36,39.3,63.97,Medium,SYNTHETIC_DEMO_ONLY
102,Rana Nagar - Safety Point 102,Rana Nagar,transport_area,20.942143,77.778625,28.45,40.95,55.18,45.08,69.15,40.6,Medium,SYNTHETIC_DEMO_ONLY
103,Mahajanpura - Safety Point 103,Mahajanpura,college_area,20.933267,77.755171,28.12,53.07,21.47,51.81,71.79,33.27,Low,SYNTHETIC_DEMO_ONLY
104,Prabhat Colony - Safety Point 104,Prabhat Colony,park_area,20.928565,77.763131,78.07,77.58,51.02,88.79,32.59,62.36,Medium,SYNTHETIC_DEMO_ONLY
105,Krishnarpan Colony - Safety Point 105,Krishnarpan Colony,residential_area,20.922638,77.760307,35.11,74.03,45.77,36.38,40.61,38.65,Medium,SYNTHETIC_DEMO_ONLY
106,New Ganesh Colony - Safety Point 106,New Ganesh Colony,market_area,20.924752,77.755064,78.19,75.01,48.57,38.51,44.29,55.77,Medium,SYNTHETIC_DEMO_ONLY
107,Javad Nagar - Safety Point 107,Javad Nagar,commercial_area,20.928045,77.784434,62.15,94.22,51.33,19.43,78.87,38.83,Medium,SYNTHETIC_DEMO_ONLY
108,Walgaon Road - Safety Point 108,Walgaon Road,road_junction,20.916063,77.791357,27.64,84.65,63.81,49.97,53.87,35.61,Medium,SYNTHETIC_DEMO_ONLY
109,Badnera Road - Safety Point 109,Badnera Road,public_place,20.899758,77.773459,49.31,47.77,37.46,47.27,71.62,44.77,Medium,SYNTHETIC_DEMO_ONLY
110,Rahatgaon - Safety Point 110,Rahatgaon,transport_area,20.951178,77.744399,79.02,93.16,84.66,15.28,86.41,49.24,Medium,SYNTHETIC_DEMO_ONLY
111,Transport Nagar - Safety Point 111,Transport Nagar,college_area,20.953794,77.751879,31.35,58.78,68.7,56.81,77.85,40.09,Medium,SYNTHETIC_DEMO_ONLY
112,Cotton Market - Safety Point 112,Cotton Market,park_area,20.933677,77.747291,54.75,39.05,89.59,22.84,71.35,54.11,Medium,SYNTHETIC_DEMO_ONLY
113,Sarafa - Safety Point 113,Sarafa,residential_area,20.932814,77.74506,17.1,68.31,54.01,94.68,38.19,40.02,Medium,SYNTHETIC_DEMO_ONLY
114,Maltekdi - Safety Point 114,Maltekdi,market_area,20.934549,77.76643,77.11,25.49,70.08,70.74,56.78,69.81,High,SYNTHETIC_DEMO_ONLY
115,Wadali - Safety Point 115,Wadali,commercial_area,20.926475,77.79454,64.85,39.05,62.42,84.95,43.44,64.47,Medium,SYNTHETIC_DEMO_ONLY
116,Rahatgaon Road - Safety Point 116,Rahatgaon Road,road_junction,20.94807,77.752976,60.6,38.68,75.42,65.78,37.44,63.78,Medium,SYNTHETIC_DEMO_ONLY
117,MIDC Area - Safety Point 117,MIDC Area,public_place,20.905463,77.805327,24.53,50.29,69.71,65.94,89.14,38.43,Medium,SYNTHETIC_DEMO_ONLY
118,Chandur Road Area - Safety Point 118,Chandur Road Area,transport_area,20.902344,77.739691,49.96,68.57,82.48,22.75,36.67,50.42,Medium,SYNTHETIC_DEMO_ONLY
119,Paranjape Nagar - Safety Point 119,Paranjape Nagar,college_area,20.94031,77.754699,77.7,30.9,70.52,85.81,73.26,68.07,High,SYNTHETIC_DEMO_ONLY
120,Panchsheel Nagar - Safety Point 120,Panchsheel Nagar,park_area,20.940757,77.750532,74.02,43.52,30.1,52.72,65.97,55.8,Medium,SYNTHETIC_DEMO_ONLY
121,Rajapeth - Safety Point 121,Rajapeth,residential_area,20.924772,77.752771,67.31,79.44,94.4,29.17,76.85,51.59,Medium,SYNTHETIC_DEMO_ONLY
122,City Kotwali - Safety Point 122,City Kotwali,market_area,20.930607,77.756599,28.88,75.68,32.2,25.76,46.17,31.9,Low,SYNTHETIC_DEMO_ONLY
123,Gadge Nagar - Safety Point 123,Gadge Nagar,commercial_area,20.94626,77.760627,79.28,87.45,89.43,35.21,76.66,54.66,Medium,SYNTHETIC_DEMO_ONLY
124,Frezarpura - Safety Point 124,Frezarpura,road_junction,20.929633,77.777081,28.8,39.3,77.63,86.81,33.96,53.89,Medium,SYNTHETIC_DEMO_ONLY
125,Dastur Nagar - Safety Point 125,Dastur Nagar,public_place,20.909765,77.768916,38.61,29.93,64.43,42.13,35.52,53.01,Medium,SYNTHETIC_DEMO_ONLY
126,Gokul Market - Safety Point 126,Gokul Market,transport_area,20.931797,77.763357,16.15,90.25,62.05,88.52,66.64,31.57,Low,SYNTHETIC_DEMO_ONLY
127,Jawahar Road - Safety Point 127,Jawahar Road,college_area,20.929176,77.752924,65.05,47.7,94.88,65.23,54.01,64.13,Medium,SYNTHETIC_DEMO_ONLY
128,Camp Area - Safety Point 128,Camp Area,park_area,20.918553,77.767899,31.15,42.32,51.48,35.83,47.17,43.23,Medium,SYNTHETIC_DEMO_ONLY
129,Saturna - Safety Point 129,Saturna,residential_area,20.917152,77.759668,22.01,81.26,71.99,78.03,76.89,34.62,Low,SYNTHETIC_DEMO_ONLY
130,Parmal Layout - Safety Point 130,Parmal Layout,market_area,20.921777,77.75592,73.11,61.12,91.57,86.14,75.02,63.12,Medium,SYNTHETIC_DEMO_ONLY
131,Pushpak Colony - Safety Point 131,Pushpak Colony,commercial_area,20.912189,77.749934,60.81,88.69,42.34,72.67,91.18,41.53,Medium,SYNTHETIC_DEMO_ONLY
132,Rana Nagar - Safety Point 132,Rana Nagar,road_junction,20.940994,77.778189,33.0,31.97,72.7,24.78,37.63,49.54,Medium,SYNTHETIC_DEMO_ONLY
133,Mahajanpura - Safety Point 133,Mahajanpura,public_place,20.935234,77.752969,35.45,26.8,83.72,74.57,60.08,54.82,Medium,SYNTHETIC_DEMO_ONLY
134,Prabhat Colony - Safety Point 134,Prabhat Colony,transport_area,20.929823,77.763744,20.51,47.89,50.48,86.67,90.5,36.29,Medium,SYNTHETIC_DEMO_ONLY
135,Krishnarpan Colony - Safety Point 135,Krishnarpan Colony,college_area,20.926068,77.757252,80.35,79.41,80.95,50.73,76.34,57.02,Medium,SYNTHETIC_DEMO_ONLY
136,New Ganesh Colony - Safety Point 136,New Ganesh Colony,park_area,20.926065,77.756697,32.93,31.59,91.48,74.63,30.54,58.46,Medium,SYNTHETIC_DEMO_ONLY
137,Javad Nagar - Safety Point 137,Javad Nagar,residential_area,20.922497,77.782967,46.92,73.94,33.81,34.65,37.83,41.84,Medium,SYNTHETIC_DEMO_ONLY
138,Walgaon Road - Safety Point 138,Walgaon Road,market_area,20.916399,77.790885,16.79,79.74,36.8,46.05,58.78,27.08,Low,SYNTHETIC_DEMO_ONLY
139,Badnera Road - Safety Point 139,Badnera Road,commercial_area,20.899907,77.771758,60.1,40.97,60.45,78.09,52.21,59.89,Medium,SYNTHETIC_DEMO_ONLY
140,Rahatgaon - Safety Point 140,Rahatgaon,road_junction,20.949033,77.743759,15.73,77.76,92.26,79.73,78.47,35.78,Medium,SYNTHETIC_DEMO_ONLY
141,Transport Nagar - Safety Point 141,Transport Nagar,public_place,20.954919,77.757318,52.53,74.81,65.05,74.25,63.32,48.73,Medium,SYNTHETIC_DEMO_ONLY
142,Cotton Market - Safety Point 142,Cotton Market,transport_area,20.932433,77.74189,40.23,59.61,93.42,18.1,44.3,48.35,Medium,SYNTHETIC_DEMO_ONLY
143,Sarafa - Safety Point 143,Sarafa,college_area,20.934446,77.751414,65.69,70.53,88.7,37.14,76.85,52.66,Medium,SYNTHETIC_DEMO_ONLY
144,Maltekdi - Safety Point 144,Maltekdi,park_area,20.93184,77.763896,33.21,87.22,64.64,79.81,69.26,38.13,Medium,SYNTHETIC_DEMO_ONLY
145,Wadali - Safety Point 145,Wadali,residential_area,20.924544,77.794638,26.01,68.68,79.64,66.61,90.83,36.65,Medium,SYNTHETIC_DEMO_ONLY
146,Rahatgaon Road - Safety Point 146,Rahatgaon Road,market_area,20.944898,77.75201,26.06,49.66,94.42,50.28,69.34,44.28,Medium,SYNTHETIC_DEMO_ONLY
147,MIDC Area - Safety Point 147,MIDC Area,commercial_area,20.912024,77.804795,30.72,47.5,30.28,51.41,73.52,36.44,Medium,SYNTHETIC_DEMO_ONLY
148,Chandur Road Area - Safety Point 148,Chandur Road Area,road_junction,20.89834,77.737688,16.82,74.5,91.47,46.37,85.97,32.29,Low,SYNTHETIC_DEMO_ONLY
149,Paranjape Nagar - Safety Point 149,Paranjape Nagar,public_place,20.940258,77.748826,39.34,66.05,64.17,68.53,37.17,48.43,Medium,SYNTHETIC_DEMO_ONLY
150,Panchsheel Nagar - Safety Point 150,Panchsheel Nagar,transport_area,20.941495,77.753614,65.93,83.77,64.7,51.1,38.89,53.6,Medium,SYNTHETIC_DEMO_ONLY
151,Rajapeth - Safety Point 151,Rajapeth,college_area,20.927202,77.757695,62.61,31.12,44.3,18.16,37.6,56.64,Medium,SYNTHETIC_DEMO_ONLY
152,City Kotwali - Safety Point 152,City Kotwali,park_area,20.929971,77.754129,58.94,41.25,66.97,83.61,84.71,56.03,Medium,SYNTHETIC_DEMO_ONLY
153,Gadge Nagar - Safety Point 153,Gadge Nagar,residential_area,20.942506,77.758465,24.87,67.89,66.64,41.65,78.59,33.74,Low,SYNTHETIC_DEMO_ONLY
154,Frezarpura - Safety Point 154,Frezarpura,market_area,20.930626,77.771255,23.22,94.51,69.52,27.99,49.4,31.2,Low,SYNTHETIC_DEMO_ONLY
155,Dastur Nagar - Safety Point 155,Dastur Nagar,commercial_area,20.908035,77.770951,46.46,41.85,56.35,43.02,30.75,53.36,Medium,SYNTHETIC_DEMO_ONLY
156,Gokul Market - Safety Point 156,Gokul Market,road_junction,20.93259,77.763137,69.58,36.41,73.08,53.86,74.03,60.79,Medium,SYNTHETIC_DEMO_ONLY
157,Jawahar Road - Safety Point 157,Jawahar Road,public_place,20.928708,77.749016,57.52,37.84,58.69,61.55,64.88,55.67,Medium,SYNTHETIC_DEMO_ONLY
158,Camp Area - Safety Point 158,Camp Area,transport_area,20.926163,77.772148,26.89,61.62,80.96,69.71,52.01,44.75,Medium,SYNTHETIC_DEMO_ONLY
