id,location_name,area_name,place_type,latitude,longitude,day_of_week,hour,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
34,Badnera Road,Badnera Road,Main Road,20.909206,77.733685,Saturday,22,65.57,29.24,64.14,92.71,42.24,65.27,High,SYNTHETIC_ML
35,University Area,University Area,Educational Area,20.947755,77.774358,Sunday,10,24.34,69.45,48.26,62.03,62.28,32.54,Low,SYNTHETIC_ML
36,Bus Stand Area,Central Amravati,Transport Hub,20.934166,77.753152,Sunday,15,61.8,47.79,97.73,100.0,34.08,71.25,High,SYNTHETIC_ML
37,Railway Station Area,Amravati,Transport Hub,20.926528,77.75808,Sunday,19,62.74,51.15,85.09,90.23,43.4,67.77,High,SYNTHETIC_ML
38,Shivaji Nagar,Shivaji Nagar,Residential Area,20.935331,77.761787,Sunday,22,32.91,62.24,52.53,44.22,77.56,34.93,Low,SYNTHETIC_ML
39,Panchwati Square,Panchwati,Junction,20.918079,77.749562,Monday,8,51.84,60.88,70.86,97.28,50.73,60.28,Medium,SYNTHETIC_ML
40,Morshi Road,Morshi Road,Main Road,20.950265,77.780444,Monday,13,44.28,60.49,66.22,81.77,39.6,53.48,Medium,SYNTHETIC_ML
41,Rajapeth Area,Rajapeth,Market Area,20.927421,77.751498,Monday,18,52.4,49.46,86.59,94.38,35.8,64.95,Medium,SYNTHETIC_ML
42,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940555,77.7651,Monday,21,48.67,66.4,68.86,59.42,62.63,51.81,Medium,SYNTHETIC_ML
43,Camp Area,Camp,Commercial Area,20.926096,77.752642,Tuesday,8,43.12,60.94,68.14,83.56,48.86,61.4,Medium,SYNTHETIC_ML
44,Badnera Road,Badnera Road,Main Road,20.908479,77.735049,Tuesday,13,61.53,37.97,60.85,97.09,38.83,64.28,Medium,SYNTHETIC_ML
45,University Area,University Area,Educational Area,20.945621,77.772424,Tuesday,18,16.48,75.97,67.63,60.5,73.65,35.09,Low,SYNTHETIC_ML
46,Bus Stand Area,Central Amravati,Transport Hub,20.934221,77.754103,Tuesday,21,58.49,40.51,99.73,77.35,48.86,65.84,High,SYNTHETIC_ML
47,Railway Station Area,Amravati,Transport Hub,20.924412,77.757812,Wednesday,8,66.63,56.41,95.05,82.2,44.11,71.48,High,SYNTHETIC_ML
48,Shivaji Nagar,Shivaji Nagar,Residential Area,20.938993,77.761285,Wednesday,13,40.37,67.54,43.42,46.62,70.07,38.95,Low,SYNTHETIC_ML
49,Panchwati Square,Panchwati,Junction,20.919964,77.747597,Wednesday,18,55.89,61.32,100.0,85.48,35.98,64.86,Medium,SYNTHETIC_ML
50,Morshi Road,Morshi Road,Main Road,20.950082,77.779292,Wednesday,21,37.01,45.7,58.65,73.52,58.15,41.73,Medium,SYNTHETIC_ML
51,Rajapeth Area,Rajapeth,Market Area,20.929295,77.753231,Thursday,8,58.22,64.21,84.55,84.28,46.38,60.39,Medium,SYNTHETIC_ML
52,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939055,77.762777,Thursday,13,32.24,73.13,52.87,49.06,64.98,30.07,Low,SYNTHETIC_ML
53,Camp Area,Camp,Commercial Area,20.92703,77.755138,Thursday,18,31.66,50.93,88.02,75.61,51.19,53.96,Medium,SYNTHETIC_ML
54,Badnera Road,Badnera Road,Main Road,20.910589,77.733439,Thursday,21,63.0,35.17,53.16,77.89,32.85,59.11,Medium,SYNTHETIC_ML
55,University Area,University Area,Educational Area,20.945493,77.770543,Friday,8,28.32,79.21,58.9,63.42,66.37,36.81,Low,SYNTHETIC_ML
56,Bus Stand Area,Central Amravati,Transport Hub,20.933523,77.755427,Friday,13,79.24,47.94,92.71,100.0,38.01,75.77,High,SYNTHETIC_ML
57,Railway Station Area,Amravati,Transport Hub,20.922891,77.756324,Friday,18,79.54,55.42,100.0,100.0,39.93,69.03,High,SYNTHETIC_ML
58,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936491,77.761596,Friday,21,31.7,64.85,72.68,59.76,59.23,46.76,Medium,SYNTHETIC_ML
59,Panchwati Square,Panchwati,Junction,20.917744,77.748831,Saturday,10,42.01,58.04,100.0,89.31,56.6,59.2,Medium,SYNTHETIC_ML
60,Morshi Road,Morshi Road,Main Road,20.951403,77.777253,Saturday,15,48.01,56.89,74.57,82.69,57.2,54.66,Medium,SYNTHETIC_ML
61,Rajapeth Area,Rajapeth,Market Area,20.929698,77.749659,Saturday,19,53.49,42.45,85.75,98.1,50.37,63.66,Medium,SYNTHETIC_ML
62,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939668,77.767004,Saturday,22,34.08,67.61,63.0,64.26,62.07,39.9,Low,SYNTHETIC_ML
63,Camp Area,Camp,Commercial Area,20.927347,77.754457,Sunday,10,46.66,63.42,71.46,81.64,50.79,55.73,Medium,SYNTHETIC_ML
64,Badnera Road,Badnera Road,Main Road,20.911722,77.731409,Sunday,15,55.41,42.31,68.62,72.47,38.82,59.69,Medium,SYNTHETIC_ML
65,University Area,University Area,Educational Area,20.945994,77.770578,Sunday,19,24.83,63.86,57.59,50.39,68.92,40.01,Medium,SYNTHETIC_ML
66,Bus Stand Area,Central Amravati,Transport Hub,20.931667,77.752394,Sunday,22,79.85,46.26,100.0,89.3,38.16,71.3,High,SYNTHETIC_ML
67,Railway Station Area,Amravati,Transport Hub,20.926282,77.755828,Monday,8,67.34,55.31,91.44,95.38,49.44,71.01,High,SYNTHETIC_ML
68,Shivaji Nagar,Shivaji Nagar,Residential Area,20.938872,77.759621,Monday,13,29.52,73.57,42.8,46.52,56.27,41.06,Medium,SYNTHETIC_ML
69,Panchwati Square,Panchwati,Junction,20.916744,77.750353,Monday,18,52.54,43.54,75.14,81.45,41.57,57.38,Medium,SYNTHETIC_ML
70,Morshi Road,Morshi Road,Main Road,20.951219,77.780362,Monday,21,61.72,52.42,66.99,84.57,45.09,59.17,Medium,SYNTHETIC_ML
71,Rajapeth Area,Rajapeth,Market Area,20.929672,77.749472,Tuesday,8,42.58,63.09,82.93,93.81,41.23,61.39,Medium,SYNTHETIC_ML
72,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939076,77.766071,Tuesday,13,38.77,63.79,56.88,38.61,62.68,37.9,Low,SYNTHETIC_ML
73,Camp Area,Camp,Commercial Area,20.9242,77.754383,Tuesday,18,49.69,51.32,92.67,73.08,50.19,61.87,Medium,SYNTHETIC_ML
74,Badnera Road,Badnera Road,Main Road,20.909571,77.734715,Tuesday,21,75.67,34.96,45.7,97.89,50.3,67.37,High,SYNTHETIC_ML
75,University Area,University Area,Educational Area,20.944787,77.770923,Wednesday,8,17.21,83.48,67.97,43.04,74.2,29.55,Low,SYNTHETIC_ML
76,Bus Stand Area,Central Amravati,Transport Hub,20.931344,77.753381,Wednesday,13,57.89,50.99,91.88,100.0,38.95,75.73,High,SYNTHETIC_ML
77,Railway Station Area,Amravati,Transport Hub,20.925486,77.757878,Wednesday,18,67.24,49.79,97.93,100.0,43.06,68.59,High,SYNTHETIC_ML
78,Shivaji Nagar,Shivaji Nagar,Residential Area,20.935025,77.761254,Wednesday,21,22.63,56.76,53.86,40.82,49.61,35.62,Low,SYNTHETIC_ML
79,Panchwati Square,Panchwati,Junction,20.917218,77.749347,Thursday,8,52.45,72.3,86.22,89.17,47.0,63.59,Medium,SYNTHETIC_ML
80,Morshi Road,Morshi Road,Main Road,20.949631,77.781428,Thursday,13,41.65,66.74,76.99,66.33,52.45,51.65,Medium,SYNTHETIC_ML
81,Rajapeth Area,Rajapeth,Market Area,20.928632,77.750454,Thursday,18,39.24,55.04,78.84,62.62,39.22,58.31,Medium,SYNTHETIC_ML
82,Gadge Nagar Area,Gadge Nagar,Residential Area,20.942052,77.763447,Thursday,21,37.52,71.93,47.19,42.72,63.35,38.17,Low,SYNTHETIC_ML
83,Camp Area,Camp,Commercial Area,20.922755,77.753616,Friday,8,47.92,53.74,76.4,69.89,54.11,46.54,Medium,SYNTHETIC_ML
84,Badnera Road,Badnera Road,Main Road,20.909718,77.735417,Friday,13,72.23,46.7,78.83,78.78,28.28,71.74,High,SYNTHETIC_ML
85,University Area,University Area,Educational Area,20.946396,77.772696,Friday,18,26.11,84.67,78.59,43.83,56.52,37.21,Low,SYNTHETIC_ML
86,Bus Stand Area,Central Amravati,Transport Hub,20.934283,77.753459,Friday,21,77.84,43.04,97.73,94.26,38.2,73.04,High,SYNTHETIC_ML
87,Railway Station Area,Amravati,Transport Hub,20.925166,77.75608,Saturday,10,68.1,62.5,97.32,95.0,48.82,68.83,High,SYNTHETIC_ML
88,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937595,77.760091,Saturday,15,41.77,82.37,63.88,49.9,73.1,35.24,Low,SYNTHETIC_ML
89,Panchwati Square,Panchwati,Junction,20.916125,77.750767,Saturday,19,47.16,54.93,89.55,100.0,53.37,58.97,Medium,SYNTHETIC_ML
90,Morshi Road,Morshi Road,Main Road,20.950569,77.781931,Saturday,22,49.51,44.04,70.9,83.29,61.36,59.42,Medium,SYNTHETIC_ML
91,Rajapeth Area,Rajapeth,Market Area,20.928133,77.752379,Sunday,10,62.7,59.21,70.05,72.45,46.3,58.7,Medium,SYNTHETIC_ML
92,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939291,77.764278,Sunday,15,31.47,66.23,57.49,46.78,61.46,40.98,Medium,SYNTHETIC_ML
93,Camp Area,Camp,Commercial Area,20.927342,77.753308,Sunday,19,61.68,43.75,64.45,63.3,50.17,60.98,Medium,SYNTHETIC_ML
94,Badnera Road,Badnera Road,Main Road,20.910053,77.737631,Sunday,22,59.5,34.02,57.85,82.39,43.56,71.75,High,SYNTHETIC_ML
95,University Area,University Area,Educational Area,20.944265,77.771363,Monday,8,24.35,80.79,68.53,76.29,75.11,37.11,Low,SYNTHETIC_ML
96,Bus Stand Area,Central Amravati,Transport Hub,20.934,77.751027,Monday,13,70.22,51.67,95.11,92.69,42.55,63.9,Medium,SYNTHETIC_ML
97,Railway Station Area,Amravati,Transport Hub,20.92593,77.758418,Monday,18,54.9,54.65,95.8,83.75,49.99,61.74,Medium,SYNTHETIC_ML
98,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936958,77.760338,Monday,21,25.01,72.83,50.5,29.86,53.25,33.05,Low,SYNTHETIC_ML
99,Panchwati Square,Panchwati,Junction,20.915444,77.74875,Tuesday,8,56.63,51.33,73.94,76.38,49.73,49.99,Medium,SYNTHETIC_ML
100,Morshi Road,Morshi Road,Main Road,20.948707,77.780718,Tuesday,13,41.1,59.55,65.31,67.51,61.3,46.51,Medium,SYNTHETIC_ML
101,Rajapeth Area,Rajapeth,Market Area,20.927084,77.752105,Tuesday,18,44.25,62.34,83.54,83.41,54.53,55.3,Medium,SYNTHETIC_ML
102,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941794,77.767045,Tuesday,21,33.43,59.23,58.18,54.44,56.27,49.39,Medium,SYNTHETIC_ML
103,Camp Area,Camp,Commercial Area,20.925621,77.754652,Wednesday,8,34.83,53.09,73.01,77.58,46.57,52.58,Medium,SYNTHETIC_ML
104,Badnera Road,Badnera Road,Main Road,20.910884,77.733274,Wednesday,13,62.53,45.04,68.59,94.32,44.88,67.34,High,SYNTHETIC_ML
105,University Area,University Area,Educational Area,20.944466,77.770504,Wednesday,18,24.38,85.64,71.72,53.95,75.32,35.86,Low,SYNTHETIC_ML
106,Bus Stand Area,Central Amravati,Transport Hub,20.935056,77.751774,Wednesday,21,51.88,44.77,65.81,76.21,42.71,57.79,Medium,SYNTHETIC_ML
107,Railway Station Area,Amravati,Transport Hub,20.923953,77.757616,Thursday,8,80.7,54.99,99.1,100.0,45.79,74.96,High,SYNTHETIC_ML
108,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937925,77.7585,Thursday,13,24.8,77.55,50.28,42.74,64.36,34.14,Low,SYNTHETIC_ML
109,Panchwati Square,Panchwati,Junction,20.919103,77.750562,Thursday,18,42.71,64.63,78.76,78.32,50.66,55.0,Medium,SYNTHETIC_ML
110,Morshi Road,Morshi Road,Main Road,20.951972,77.779835,Thursday,21,56.06,49.76,67.65,67.58,52.1,64.12,Medium,SYNTHETIC_ML
111,Rajapeth Area,Rajapeth,Market Area,20.92951,77.753005,Friday,8,57.47,64.6,90.29,88.22,49.94,61.91,Medium,SYNTHETIC_ML
112,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939468,77.765078,Friday,13,32.38,74.54,66.26,47.29,68.65,34.99,Low,SYNTHETIC_ML
113,Camp Area,Camp,Commercial Area,20.925054,77.754993,Friday,18,46.08,52.98,92.82,84.85,51.9,51.47,Medium,SYNTHETIC_ML
114,Badnera Road,Badnera Road,Main Road,20.911016,77.733568,Friday,21,75.44,47.73,73.5,85.66,37.91,72.79,High,SYNTHETIC_ML
115,University Area,University Area,Educational Area,20.945656,77.768137,Saturday,10,31.82,84.19,70.12,46.44,64.84,33.08,Low,SYNTHETIC_ML
116,Bus Stand Area,Central Amravati,Transport Hub,20.933667,77.752269,Saturday,15,68.57,50.66,100.0,82.72,48.83,70.44,High,SYNTHETIC_ML
117,Railway Station Area,Amravati,Transport Hub,20.923611,77.756631,Saturday,19,80.76,48.24,100.0,91.41,44.64,74.51,High,SYNTHETIC_ML
118,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936388,77.757903,Saturday,22,32.55,77.5,80.8,43.93,73.61,39.86,Low,SYNTHETIC_ML
119,Panchwati Square,Panchwati,Junction,20.918271,77.749016,Sunday,10,39.19,61.92,75.79,75.23,48.05,56.1,Medium,SYNTHETIC_ML
120,Morshi Road,Morshi Road,Main Road,20.950921,77.780898,Sunday,15,53.58,71.48,68.96,77.79,62.45,57.07,Medium,SYNTHETIC_ML
121,Rajapeth Area,Rajapeth,Market Area,20.928639,77.752153,Sunday,19,60.89,48.92,92.41,72.4,40.23,60.37,Medium,SYNTHETIC_ML
122,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940646,77.764724,Sunday,22,35.56,74.49,52.11,52.82,54.07,37.3,Low,SYNTHETIC_ML
123,Camp Area,Camp,Commercial Area,20.927073,77.754753,Monday,8,46.11,65.63,79.45,76.81,37.42,53.16,Medium,SYNTHETIC_ML
124,Badnera Road,Badnera Road,Main Road,20.906521,77.731998,Monday,13,71.02,45.37,65.3,84.29,35.02,74.44,High,SYNTHETIC_ML
125,University Area,University Area,Educational Area,20.946444,77.770409,Monday,18,21.2,80.09,72.46,53.01,67.69,36.33,Low,SYNTHETIC_ML
126,Bus Stand Area,Central Amravati,Transport Hub,20.932455,77.752118,Monday,21,67.42,46.95,95.88,90.01,48.84,66.09,High,SYNTHETIC_ML
127,Railway Station Area,Amravati,Transport Hub,20.923138,77.757825,Tuesday,8,54.45,49.09,85.41,100.0,55.81,60.75,Medium,SYNTHETIC_ML
128,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937626,77.758019,Tuesday,13,23.02,71.49,37.2,38.9,65.89,32.7,Low,SYNTHETIC_ML
129,Panchwati Square,Panchwati,Junction,20.917789,77.752298,Tuesday,18,55.98,53.2,88.94,89.18,39.74,67.05,High,SYNTHETIC_ML
130,Morshi Road,Morshi Road,Main Road,20.948413,77.778016,Tuesday,21,56.81,57.29,71.0,85.47,66.76,63.32,Medium,SYNTHETIC_ML
131,Rajapeth Area,Rajapeth,Market Area,20.929446,77.75333,Wednesday,8,51.6,62.52,81.51,75.32,40.95,67.33,High,SYNTHETIC_ML
132,Gadge Nagar Area,Gadge Nagar,Residential Area,20.937625,77.763207,Wednesday,13,31.58,68.88,49.29,28.79,51.73,29.19,Low,SYNTHETIC_ML
133,Camp Area,Camp,Commercial Area,20.924135,77.755839,Wednesday,18,57.27,54.73,89.73,76.6,54.7,64.13,Medium,SYNTHETIC_ML
134,Badnera Road,Badnera Road,Main Road,20.910856,77.735927,Wednesday,21,70.06,37.32,56.02,75.53,35.52,66.24,High,SYNTHETIC_ML
135,University Area,University Area,Educational Area,20.942288,77.769743,Thursday,8,35.86,87.66,57.79,64.49,66.81,36.44,Low,SYNTHETIC_ML
136,Bus Stand Area,Central Amravati,Transport Hub,20.932057,77.753662,Thursday,13,59.08,55.8,100.0,83.62,41.81,64.03,Medium,SYNTHETIC_ML
137,Railway Station Area,Amravati,Transport Hub,20.925827,77.756746,Thursday,18,64.73,65.44,91.52,97.5,45.58,66.53,High,SYNTHETIC_ML
138,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937035,77.7591,Thursday,21,41.1,71.55,54.75,57.3,73.7,38.76,Low,SYNTHETIC_ML
139,Panchwati Square,Panchwati,Junction,20.917965,77.753005,Friday,8,61.34,60.18,83.09,100.0,34.98,60.73,Medium,SYNTHETIC_ML
140,Morshi Road,Morshi Road,Main Road,20.949008,77.778264,Friday,13,50.77,63.02,67.78,74.64,42.22,48.46,Medium,SYNTHETIC_ML
141,Rajapeth Area,Rajapeth,Market Area,20.928479,77.75023,Friday,18,48.24,60.32,78.08,91.41,49.52,47.57,Medium,SYNTHETIC_ML
142,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940159,77.764967,Friday,21,44.28,63.81,63.94,60.66,71.02,43.27,Medium,SYNTHETIC_ML
143,Camp Area,Camp,Commercial Area,20.923388,77.756315,Saturday,10,37.06,56.37,85.86,75.47,40.47,47.98,Medium,SYNTHETIC_ML
144,Badnera Road,Badnera Road,Main Road,20.910642,77.735658,Saturday,15,63.89,47.47,88.85,94.55,38.95,66.5,High,SYNTHETIC_ML
145,University Area,University Area,Educational Area,20.947869,77.770699,Saturday,19,27.63,70.0,94.79,53.64,65.61,46.08,Medium,SYNTHETIC_ML
146,Bus Stand Area,Central Amravati,Transport Hub,20.93131,77.754493,Saturday,22,74.15,44.58,96.2,91.1,37.73,76.16,High,SYNTHETIC_ML
147,Railway Station Area,Amravati,Transport Hub,20.925964,77.758547,Sunday,10,73.72,60.76,77.88,91.63,47.43,60.83,Medium,SYNTHETIC_ML
148,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936524,77.759753,Sunday,15,33.89,73.06,52.33,56.79,72.36,27.02,Low,SYNTHETIC_ML
149,Panchwati Square,Panchwati,Junction,20.915193,77.752793,Sunday,19,44.25,53.89,90.2,78.59,50.02,60.36,Medium,SYNTHETIC_ML
150,Morshi Road,Morshi Road,Main Road,20.949129,77.781042,Sunday,22,50.29,58.61,69.6,58.72,62.1,49.44,Medium,SYNTHETIC_ML
151,Rajapeth Area,Rajapeth,Market Area,20.931052,77.750722,Monday,8,56.79,63.91,87.11,86.43,42.49,66.88,High,SYNTHETIC_ML
152,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941586,77.767102,Monday,13,50.6,75.97,62.77,50.22,58.7,44.43,Medium,SYNTHETIC_ML
153,Camp Area,Camp,Commercial Area,20.923698,77.752547,Monday,18,49.27,49.53,89.22,81.55,53.93,56.88,Medium,SYNTHETIC_ML
154,Badnera Road,Badnera Road,Main Road,20.907914,77.737158,Monday,21,66.61,39.63,61.48,61.36,27.52,65.57,High,SYNTHETIC_ML
155,University Area,University Area,Educational Area,20.944842,77.769407,Tuesday,8,23.99,81.74,80.97,63.46,68.16,40.94,Medium,SYNTHETIC_ML
156,Bus Stand Area,Central Amravati,Transport Hub,20.934444,77.751413,Tuesday,13,80.27,49.31,100.0,90.73,50.71,76.19,High,SYNTHETIC_ML
157,Railway Station Area,Amravati,Transport Hub,20.926164,77.759688,Tuesday,18,59.02,57.76,100.0,91.54,37.28,60.69,Medium,SYNTHETIC_ML
158,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937675,77.760845,Tuesday,21,30.99,50.7,48.47,43.7,77.58,45.85,Medium,SYNTHETIC_ML
159,Panchwati Square,Panchwati,Junction,20.917076,77.749966,Wednesday,8,50.8,59.98,87.11,79.87,53.27,59.38,Medium,SYNTHETIC_ML
160,Morshi Road,Morshi Road,Main Road,20.951068,77.778228,Wednesday,13,40.64,55.57,62.17,61.17,56.94,44.29,Medium,SYNTHETIC_ML
161,Rajapeth Area,Rajapeth,Market Area,20.931996,77.752199,Wednesday,18,51.04,56.25,94.05,83.39,43.73,61.93,Medium,SYNTHETIC_ML
162,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940527,77.762098,Wednesday,21,41.99,66.71,62.16,34.02,49.91,48.14,Medium,SYNTHETIC_ML
163,Camp Area,Camp,Commercial Area,20.921798,77.755926,Thursday,8,39.12,38.5,75.61,74.72,47.45,56.66,Medium,SYNTHETIC_ML
164,Badnera Road,Badnera Road,Main Road,20.911124,77.732469,Thursday,13,65.89,46.86,72.85,75.68,47.05,60.53,Medium,SYNTHETIC_ML
165,University Area,University Area,Educational Area,20.942329,77.768795,Thursday,18,18.49,89.1,63.55,56.6,71.42,30.86,Low,SYNTHETIC_ML
166,Bus Stand Area,Central Amravati,Transport Hub,20.931907,77.753657,Thursday,21,79.7,47.96,82.46,84.21,36.51,70.15,High,SYNTHETIC_ML
167,Railway Station Area,Amravati,Transport Hub,20.927095,77.755619,Friday,8,70.66,54.13,94.48,100.0,40.1,72.79,High,SYNTHETIC_ML
168,Shivaji Nagar,Shivaji Nagar,Residential Area,20.933679,77.760519,Friday,13,30.18,70.68,56.44,46.92,56.28,42.71,Medium,SYNTHETIC_ML
169,Panchwati Square,Panchwati,Junction,20.91592,77.747885,Friday,18,58.33,57.08,90.14,85.78,47.28,61.62,Medium,SYNTHETIC_ML
170,Morshi Road,Morshi Road,Main Road,20.951897,77.777867,Friday,21,45.5,50.08,75.86,80.15,56.93,60.87,Medium,SYNTHETIC_ML
171,Rajapeth Area,Rajapeth,Market Area,20.928936,77.752118,Saturday,10,52.81,68.15,92.49,80.16,43.69,58.53,Medium,SYNTHETIC_ML
172,Gadge Nagar Area,Gadge Nagar,Residential Area,20.942143,77.766763,Saturday,15,30.25,73.19,80.59,38.76,61.94,40.53,Medium,SYNTHETIC_ML
173,Camp Area,Camp,Commercial Area,20.922352,77.756461,Saturday,19,51.49,54.59,65.83,96.74,52.25,63.53,Medium,SYNTHETIC_ML
174,Badnera Road,Badnera Road,Main Road,20.909732,77.733959,Saturday,22,63.73,41.07,59.25,94.06,20.52,72.93,High,SYNTHETIC_ML
175,University Area,University Area,Educational Area,20.945583,77.76736,Sunday,10,21.45,87.64,64.29,41.91,68.58,24.91,Low,SYNTHETIC_ML
176,Bus Stand Area,Central Amravati,Transport Hub,20.934787,77.751456,Sunday,15,75.26,50.77,100.0,81.2,39.38,79.86,High,SYNTHETIC_ML
177,Railway Station Area,Amravati,Transport Hub,20.927483,77.758547,Sunday,19,72.75,47.13,98.88,84.52,44.46,65.6,High,SYNTHETIC_ML
